,size,similarity_score,num_forms,has_login_form,num_scripts,has_external_scripts,num_hyperlinks,num_external_hyperlinks,num_js_events,isPhishing,@,?,-,=,.,#,%,+,$,!,*,",",//,digits,url_len,https,letters,Shortining_Service,having_ip_address
mean,95808.25091799266,61.40171521003672,0.3929008567931457,0.06731946144430845,5.986536107711139,0.2864137086903305,13.600979192166463,10.86780905752754,0.0,1.0,0.011015911872705019,0.13586291309669524,0.7833537331701347,0.35862913096695226,2.134638922888617,0.017135862913096694,0.03549571603427173,0.0012239902080783353,0.0,0.0,0.0,0.0,1.00734394124847,4.348837209302325,55.90208078335373,0.8555691554467564,42.6891064871481,0.03671970624235006,0.0
std,484421.19557500584,24.87923965699364,0.846618725220434,0.2507279343910912,11.311479717676763,0.45236198221015045,143.38635555667187,141.12608100359793,0.0,0.0,0.10444095335019739,0.35341335683869346,1.2468851439565323,1.277598114410187,0.7647164975789567,0.1298570949046652,0.42294865990501573,0.03498557142706598,0.0,0.0,0.0,0.0,0.08543384346069846,8.423355529517497,43.63235114847085,0.35174139680156813,33.6216884266174,0.1881879823003226,0.0
median,4643.0,67.8373852,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,42.0,1.0,33.0,0.0,0.0
