,size,similarity_score,num_forms,has_login_form,num_scripts,has_external_scripts,num_hyperlinks,num_external_hyperlinks,num_js_events,isPhishing,@,?,-,=,.,#,%,+,$,!,*,",",//,digits,url_len,https,letters,Shortining_Service,having_ip_address
mean,334767.9307511737,29.073339888967134,0.9847417840375586,0.022300469483568074,31.1443661971831,0.8204225352112676,178.56572769953053,102.03873239436619,0.0011737089201877935,0.0,0.0,0.0,0.01056338028169014,0.0,2.102112676056338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08450704225352113,23.345070422535212,1.0,18.14788732394366,0.08568075117370892,0.0
std,612168.535965349,15.171680467339439,2.066691140850889,0.14774565705027556,33.895936047871494,0.3840605732913786,320.78482510542597,200.2688783733628,0.03425943549137658,0.0,0.0,0.0,0.10229407147679954,0.0,0.30297428306104723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4388794257670655,3.2525050087121445,0.0,3.238532366455797,0.2800564513437792,0.0
median,215486.5,29.0955011,1.0,0.0,20.0,1.0,79.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,1.0,18.0,0.0,0.0
